## Page 1 ### Table (Page 1) | Services | In-Network You Pay1 |
| Ambulance (if medically necessary) | Deductible, then $60 per service | BlueChoice HMO Referral Silver 5350 Ded Summary of Benefits Non-Integrated Deductible In-Network You Pay1 Services Visit www.carefirst.com/doctor to locate providers and facilities ### 24-HOUR NURSE ADVICE LINE When your doctor is not available, call 800-535-9700 to speak with a registered nurse about your health questions and treatment options. Free advice from a registered nurse. Visit www.carefirst.com/needcare to learn more about your options for care. ### WELLBEING PROGRAM & BLUE REWARDS You have access to a comprehensive wellbeing program as part of your medical plan. You also have Blue Rewards, an incentive program where you can get rewarded for completing certain activities. Visit www.carefirst.com/sharecare for more information. ANNUAL MEDICAL DEDUCTIBLE (Benefit Period),2 $5,350 Individual/$10,700 Family (separate) Individual/Family ANNUAL OUT-OF-POCKET MAXIMUM (Benefit Period)3,4 $8,800 Individual/$17,600 Family (separate) Individual/Family ### PREVENTIVE SERVICES No charge* Well-Child Care (including exams & immunizations) No charge* Adult Physical Examination (including routine GYN visit) No charge* Breast Cancer Screening No charge* Pap Test No charge* Prostate Cancer Screening No charge* Colorectal Cancer Screening ### PCP AND SPECIALIST SERVICES Deductible, then $50 per visit FACILITY CHARGE5 In addition to the physician copays/coinsurances listed below, if a service is rendered on a hospital campus, ADD facility charge if applicable (also applies to Artificial Insemination and In Vitro Fertilization on page 2) Virtual Connect Plus through selected providers, including CloseKnit7 - No charge* (www.carefirst.com/virtualconnect) All other providers - $25 per visit Office Visits for Illness PCP5,6 $60 per visit Office Visits for Illness Specialist $60 per visit Allergy Testing5 $60 per visit Allergy Shots5 $60 per visit Physical, Speech, and Occupational Therapy5 (limited to 30 visits/illness or injury/benefit period) $60 per visit Chiropractic5 (limited to 20 visits/benefit period) $60 per visit Acupuncture5 ### IMMEDIATE AND EMERGENCY SERVICES $25 per visit Convenience Care (retail health clinics such as CVS MinuteClinic) $100 per visit Urgent Care Center (such as Patient First or ExpressCare) Hospital Emergency Room Services Deductible, then $350 per visit (waived if admitted) Facility Deductible, then $60 per visit Physician Deductible, then $60 per service Ambulance (if medically necessary) SUM6960-1P (12/24) MD 2025 2-50 ACA Compliant ## Page 2 ### Table (Page 2) | Services | In-Network You Pay1 |
| --- | --- |
| DIAGNOSTIC SERVICES | |
| Labs,8 | |
| LabCorp | $25 per visit |
| Hospital | Deductible, then $50 per visit |
| X-ray8 | |
| Non-Hospital/Freestanding Facility | $50 per visit |
| Hospital | Deductible, then $100 per visit |
| Imaging,8 | |
| Non-Hospital/Freestanding Facility | $250 per visit |
| Hospital | Deductible, then $500 per visit |
| SURGERY AND HOSPITALIZATION (Members are responsible for both physician and facility fees) | Deductible, then $500 per visit |
| Outpatient Surgery (Non-Hospital) | |
| Facility | $300 per visit |
| Physician | $60 per visit |
| Outpatient Surgery (Hospital) | |
| Facility | Deductible, then $400 per visit |
| Physician | Deductible, then $60 per visit |
| Inpatient Surgery and Hospital Services | |
| Facility | Deductible, then $500 per day (5 day maximum payment per admission) |
| Physician | $60 per visit |
| HOSPITAL ALTERNATIVES | |
| Home Health Care | No charge* |
| Hospice | No charge* |
| Skilled Nursing Facility (limited to 100 days/benefit period) | Deductible, then $500 per day (5 day maximum payment per admission) |
| MATERNITY | |
| Preventive Prenatal and Postnatal Office Visits | No charge* |
| Delivery and Facility Services | $500 per day (5 day maximum payment per admission) |
| Artificial and Intrauterine Insemination5,9 | Deductible, then $25 per visit |
| In Vitro Fertilization Procedures5,9 | Not covered |
| MENTAL HEALTH AND SUBSTANCE USE DISORDER (Members are responsible for both physician and facility fees) | |
| Office Visit | Virtual Connect Plus through selected providers, including CloseKnit7 - No charge* (www.carefirst.com/virtualconnect) All other providers - $25 per visit |
| Outpatient Services | |
| Facility | $50 per visit |
| Physician | $50 per visit |
| Inpatient Services | |
| Facility | Deductible, then $500 per day (5 day maximum payment per admission) |
| Physician | Deductible, then $50 per visit |
| MEDICAL DEVICES AND SUPPLIES | |
| Durable Medical Equipment | Deductible, then 25% of Allowed Benefit |
| Hearing Aids | Deductible, then 25% of Allowed Benefit | In-Network You Pay1 Services ### DIAGNOSTIC SERVICES Labs,8 $25 per visit LabCorp Deductible, then $50 per visit Hospital X-ray8 $50 per visit Non-Hospital/Freestanding Facility Deductible, then $100 per visit Hospital Imaging,8 $250 per visit Non-Hospital/Freestanding Facility Deductible, then $500 per visit Hospital SURGERY AND HOSPITALIZATION (Members are responsible for both physician and facility fees) Outpatient Surgery (Non-Hospital) $300 per visit Facility $60 per visit Physician Outpatient Surgery (Hospital) Deductible, then $400 per visit Facility Deductible, then $60 per visit Physician Inpatient Surgery and Hospital Services Deductible, then $500 per day (5 day maximum payment per admission) Facility $60 per visit Physician ### HOSPITAL ALTERNATIVES No charge* Home Health Care No charge* Hospice Deductible, then $500 per day (5 day maximum payment per admission) Skilled Nursing Facility (limited to 100 days/benefit period) ### MATERNITY No charge* Preventive Prenatal and Postnatal Office Visits $500 per day (5 day maximum payment per admission) Delivery and Facility Services Deductible, then $25 per visit Artificial and Intrauterine Insemination5,9 Not covered In Vitro Fertilization Procedures5,9 MENTAL HEALTH AND SUBSTANCE USE DISORDER (Members are responsible for both physician and facility fees) Virtual Connect Plus through selected providers, including CloseKnit7 - No charge* (www.carefirst.com/virtualconnect) Office Visit All other providers - $25 per visit Outpatient Services $50 per visit Facility $50 per visit Physician Inpatient Services Deductible, then $500 per day (5 day maximum payment per admission) Facility Deductible, then $50 per visit Physician ### MEDICAL DEVICES AND SUPPLIES Deductible, then 25% of Allowed Benefit Durable Medical Equipment Deductible, then 25% of Allowed Benefit Hearing Aids SUM6960-1P (12/24) MD 2025 2-50 ACA Compliant BlueChoice HMO Referral Silver 5350 Ded Summary of Benefits ## Page 3 ### Table (Page 3) | Services | In-Network You Pay1 |
| --- | --- |
| PRESCRIPTION DRUGS | |
| Formulary List | Visit www.carefirst.com/acarx to locate Formulary List |
| Annual Prescription Drug Deductible | $450 per person (waived for generic drugs; preferred and non-preferred brand insulin) |
| Preventive Drugs | No charge* |
| Diabetic Supplies | No charge* |
| Oral Chemo Drugs | No charge* |
| Opioid Reversal Agents | No charge* |
| Generic Drugs | 30-day supply $15; 90-day supply $30 (maintenance drugs only) |
| Preferred Brand Drugs10 (Preferred Insulin $0) | 30-day supply Deductible, then $45; 90-day supply Deductible, then $90 (maintenance drugs only) |
| Non-preferred Brand Drugs11 (Non-preferred Insulin capped at $30 for 30 days/$60 for 90 days) | 30-day supply Deductible, then $75; 90-day supply Deductible, then $150 (maintenance drugs only) |
| Preferred Specialty Drugs (must be filled through Exclusive Specialty Pharmacy Network) | 30-day supply Deductible, then 50% up to $100 maximum; 90-day supply Deductible, then 50% up to $200 maximum (maintenance drugs only) |
| Non-Preferred Specialty Drugs (must be filled through Exclusive Specialty Pharmacy Network) | 30-day supply Deductible, then 50% up to $150 maximum; 90-day supply Deductible, then 50% up to $300 maximum (maintenance drugs only) |
| PEDIATRIC VISION (Through the end of the calendar year in which the dependent turns 19) | |
| Routine Exam (limited to 1 visit/benefit period) | In-network-No charge*; Out-of-network-Total charge minus $40 reimbursement |
| Frames and Contact Lenses Pediatric Collection Only | In-network-No charge*; Out-of-network-Reimbursements apply |
| Spectacle Lenses | In-network-No charge*; Out-of-network-Reimbursements apply |
| PEDIATRIC DENTAL (Through the end of the calendar year in which the dependent turns 19) | |
| Annual Dental Deductible | In-network-$25; Out-of-network-$50 |
| Class I Preventative & Diagnostic Services Exams, cleanings, fluoride treatments, sealants, bitewing x-rays12, full mouth x-ray13 | In-network-No charge*; Out-of-network-20% of Allowed Benefit |
| Class II Basic Services Fillings (amalgam or composite), simple extractions, non-surgical periodontics | In-network-Deductible, then 20% of Allowed Benefit; Out-of-network-Deductible, then 40% of Allowed Benefit |
| Class III Major Services Surgical periodontics, endodontics, oral surgery | In-network-Deductible, then 20% of Allowed Benefit; Out-of-network-Deductible, then 40% of Allowed Benefit |
| Class IV Major Services Restorative Crowns, dentures, inlays and onlays | In-network-Deductible, then 50% of Allowed Benefit; Out-of-network-Deductible, then 65% of Allowed Benefit |
| Class V Medically Necessary Orthodontic Services | In-network-50% of Allowed Benefit; Out-of-network-65% of Allowed Benefit | In-Network You Pay1 Services ### PRESCRIPTION DRUGS Visit www.carefirst.com/acarx to locate Formulary List Formulary List $450 per person (waived for generic drugs; preferred and non-preferred brand insulin) Annual Prescription Drug Deductible No charge* Preventive Drugs No charge* Diabetic Supplies No charge* Oral Chemo Drugs No charge* Opioid Reversal Agents 30-day supply $15; 90-day supply $30 (maintenance drugs only) Generic Drugs 30-day supply Deductible, then $45; 90-day supply Deductible, then $90 (maintenance drugs only) Preferred Brand Drugs10 (Preferred Insulin $0) 30-day supply Deductible, then $75; 90-day supply Deductible, then $150 (maintenance drugs only) Non-preferred Brand Drugs11 (Non-preferred Insulin capped at $30 for 30 days/$60 for 90 days) 30-day supply Deductible, then 50% up to $100 maximum; 90-day supply Deductible, then 50% up to $200 maximum (maintenance drugs only) Preferred Specialty Drugs (must be filled through Exclusive Specialty Pharmacy Network) 30-day supply Deductible, then 50% up to $150 maximum; 90-day supply Deductible, then 50% up to $300 maximum (maintenance drugs only) Non-Preferred Specialty Drugs (must be filled through Exclusive Specialty Pharmacy Network) PEDIATRIC VISION (Through the end of the calendar year in which the dependent turns 19) In-network-No charge*; Out-of-network-Total charge minus $40 reimbursement Routine Exam (limited to 1 visit/benefit period) In-network-No charge*; Out-of-network-Reimbursements apply Frames and Contact Lenses Pediatric Collection Only In-network-No charge*; Out-of-network-Reimbursements apply Spectacle Lenses PEDIATRIC DENTAL (Through the end of the calendar year in which the dependent turns 19) In-network-$25; Out-of-network-$50 Annual Dental Deductible In-network-No charge*; Out-of-network-20% of Allowed Benefit Class I Preventative & Diagnostic Services Exams, cleanings, fluoride treatments, sealants, bitewing x-rays12, full mouth x-ray13 In-network-Deductible, then 20% of Allowed Benefit; Out-of-network-Deductible, then 40% of Allowed Benefit Class II Basic Services Fillings (amalgam or composite), simple extractions, non-surgical periodontics In-network-Deductible, then 20% of Allowed Benefit; Out-of-network-Deductible, then 40% of Allowed Benefit Class III Major Services Surgical periodontics, endodontics, oral surgery In-network-Deductible, then 50% of Allowed Benefit; Out-of-network-Deductible, then 65% of Allowed Benefit Class IV Major Services Restorative Crowns, dentures, inlays and onlays In-network-50% of Allowed Benefit; Out-of-network-65% of Allowed Benefit Class V Medically Necessary Orthodontic Services SUM6960-1P (12/24) MD 2025 2-50 ACA Compliant BlueChoice HMO Referral Silver 5350 Ded Summary of Benefits ## Page 4 ### Table (Page 4) | | |
| --- | --- | ### Table (Page 4) | |
| --- |
| | Note: Allowed Benefit is the fee that providers in the network have agreed to accept for a particular service. The provider cannot charge the member more than this amount for any covered service. Example: Dr. Carson charges $100 to see a sick patient. To be part of CareFirst s network, he has agreed to accept $50 for the visit. The member will pay their copay/coinsurance and deductible (if applicable) and CareFirst will pay the remaining amount up to $50. No copayment or coinsurance. 1 When multiple services are rendered on the same day by more than one provider, Member payments are required for each provider. 2 Separate - For family coverage only: When one family member meets the individual deductible, they can start receiving benefits. Each family member cannot contribute more than the individual deductible amount. The family deductible must be met before the remaining family members can start receiving benefits. 3 Separate - For family coverage only: When one family member meets the individual out-of-pocket maximum, their services will be covered at 100% up to the Allowed Benefit. Each family member cannot contribute more than the individual out-of-pocket maximum amount. The family out-of-pocket maximum must be met before the services for all remaining family members will be covered at 100% up to the Allowed Benefit. The out-of-pocket maximum includes deductibles, copays and coinsurance. 4 All drug costs are subject to the in-network out-of-pocket maximum. 5 If a service is rendered on a hospital campus you could receive two bills, one from the physician and one from the facility. 6 Telemedicine Services refers to the use of a combination of interactive audio, including audio-only telephone conversation between a health care provider and the Member when required by law, video, or other electronic media used for the purpose of diagnosis, consultation, or treatment. Use of e-mail, online questionnaires or Fax is not considered a telemedicine service. Providers will use their professional judgment to determine if a telemedicine visit is appropriate or if an in-person visit is required. 7 CloseKnit is a registered Trademark owned by, and is the trade name of, Atlas Health, LLC. Atlas Health, LLC d/b/a CloseKnit does not provide Blue Cross Blue Shield products or services and is providing in person and telehealth services to CareFirst members. Atlas Health, LLC is a corporate affiliate within the CareFirst, Inc. corporate umbrella of companies. 8 Members accessing laboratory tests, x-rays, and specialty imaging services inside the CareFirst Service Area (Maryland, D.C., Northern Virginia) must use a designated Contracting Provider and/or Contracting Facility which may include a non-hospital/freestanding facility. 9 Members who are unable to conceive have coverage for the evaluation of infertility services performed to confirm an infertility diagnosis, and some treatment options for infertility. Preauthorization required. 10 If a Generic drug becomes available for a Preferred Brand drug, the Preferred Brand drug moves to the Non-preferred Brand drug tier. 11 If a provider prescribes a Non-preferred Brand drug, and the Member selects the Non-preferred Brand drug when a Generic drug is available, the Member shall pay the applicable Copayment or Coinsurance as stated in the Schedule of Benefits plus the difference between the price of the Non-preferred Brand drug and the Generic drug up to the cost of the drug. This amount will not contribute to the Out-of-Pocket Maximum. 12 Class I Preventative & Diagnostic Services-Exams, cleanings, fluoride treatments, sealants, bitewing x-rays are limited to 2 per year per provider per location. 13 Class I Preventative & Diagnostic Services-Full mouth x-ray is limited to 1 per every 3 years per provider per location. Reminder: To enroll in HMO, HMO Referral and Plus plans, members must live or work within the CareFirst service area of Maryland, Washington, D.C. or Northern Virginia. Note: Upon enrollment in CareFirst BlueChoice, you will need to select a Primary Care Provider (PCP). To select a PCP, go to www.carefirst.com/findadoc for the most current listing of PCPs from our online provider directory. You may also call the Member Services number on the back of your CareFirst ID card for assistance in selecting a PCP or obtaining a printed copy of the CareFirst BlueChoice provider directory. Not all services and procedures are covered by your benefits contract. This summary is for comparison purposes only and does not create rights not given through the benefit plan. Benefit designs are subject to and may be impacted by certain state regulations. The benefits described are issued under form numbers: MD/CFBC/GC (1/14)-This form is issued to the Group only (not Members);MD/CFBC/2024 GC AMEND (1/24);MD/CFBC/SG/HMO-POS/EOC (1/24);MD/CFBC/DOL APPEAL (R. 1/24);MD/CFBC/SHOP/HMO DOCS (R. 1/24);MD/CFBC/SG/HMO REF/BRZ 8500 (1/25);MD/CFBC/SG/HMO REF/GOLD 0 (1/25);MD/CFBC/SG/HMO REF/GOLD 800 (1/25);MD/CFBC/SG/HMO REF/PLAT 0 (1/25);MD/CFBC/SG/HMO REF/SIL 5350 (1/25);MD/CFBC/SHOP/HMO REF CDH/BRZ 6200 (1/25);MD/CFBC/BLCRD (5/12)-This form is issued to the Group only (not Members);MD/CFBC/MEM/BLCRD (1/12);MD/CFBC/SG/ELIG AMEND (1/17);MD/CFBC/SG/PLUS/HMO/AUTH AMEND (1/24);MD/CFBC/SG/2025 AMEND (1/25);MD/CFBC/GRP/FAM PLAN (1/20);CFBC DISCLOSURE 10/15;CFBC HEALTH GUARANTY 1/22;MD/CFBC/SG/HMO-POS IN/INCENT (R. 1/23);MD/CFBC/SHOP/PARTNER (1/14);MD/PT PROTECT (9/10);MD/CFBC/ELIG (1/14) and any amendments. CareFirst BlueChoice, Inc. is an independent licensee of the Blue Cross and Blue Shield Association. BLUE CROSS , BLUE SHIELD and the Cross and Shield Symbols are registered service marks of the Blue Cross and Blue Shield Association, an association of independent Blue Cross and Blue Shield Plans. CareFirst BlueChoice, Inc. is an independent licensee of the Blue Cross and Blue Shield Association. BLUE CROSS , BLUE SHIELD and the Cross and Shield Symbols are registered service marks of the Blue Cross and Blue Shield Association, an association of independent Blue Cross and Blue Shield Plans. SUM6960-1P (12/24) MD 2025 2-50 ACA Compliant BlueChoice HMO Referral Silver 5350 Ded Summary of Benefits ## Page 5 Notice of Nondiscrimination and Availability of Language Assistance Services ### (UPDATED 4/15/2025) CareFirst BlueCross BlueShield, CareFirst BlueChoice, Inc., CareFirst Diversified Benefits and all of their corporate affiliates (CareFirst) comply with applicable federal civil rights laws and do not discriminate on the basis of race, color, national origin, age, disability or sex. CareFirst does not exclude people or treat them differently because of race, color, national origin, age, disability or sex. CareFirst: Provides free aid and services to people with disabilities to communicate effectively with us, such as: Qualified sign language interpreters Written information in other formats (large print, audio, accessible electronic formats, other formats) Provides free language services to people whose primary language is not English, such as: Qualified interpreters Information written in other languages If you need these services, please call 855-258-6518. If you believe CareFirst has failed to provide these services, or discriminated in another way, on the basis of race, color, national origin, age, disability or sex, you can file a grievance with our CareFirst Civil Rights Coordinator by mail, fax or email. If you need help filing a grievance, our CareFirst Civil Rights Coordinator is available to help you. To file a grievance regarding a violation of federal civil rights, please contact the Civil Rights Coordinator as indicated below. Please do not send payments, claims issues, or other documentation to this office. Civil Rights Coordinator, Corporate Office of Civil Rights Mailing Address P.O. Box 14858 Lexington, KY 40512 Email Address civilrightscoordinator@carefirst.com Telephone Number 410-528-7820 Fax Number 410-505-2011 You can also file a civil rights complaint with the U.S. Department of Health and Human Services, Office for Civil Rights electronically through the Office for Civil Rights Complaint portal, available at https://ocrportal.hhs.gov/ocr/portal/lobby.jsf or by mail or phone at: U.S. Department of Health and Human Services 200 Independence Avenue, SW Room 509F, HHH Building Washington, D.C. 20201 800-368-1019, 800-537-7697 (TDD) Complaint forms are available at http://www.hhs.gov/ocr/office/file/index.html. CareFirst BlueCross BlueShield is the shared business name of CareFirst of Maryland, Inc. and Group Hospitalization and Medical Services, Inc. CareFirst of Maryland, Inc., Group Hospitalization and Medical Services, Inc., CareFirst BlueChoice, Inc., The Dental Network and First Care, Inc. are independent licensees of the Blue Cross and Blue Shield Association. In the District of Columbia and Maryland, CareFirst MedPlus is the business name of First Care, Inc. In Virginia, CareFirst MedPlus is the business name of First Care, Inc. of Maryland (used in VA by: First Care, Inc.). The BLUE CROSS and BLUE SHIELD and the Cross and Shield Symbols are registered service marks of the Blue Cross and Blue Shield Association, an association of independent Blue Cross and Blue Shield Plans. SUM6960-1P (12/24) MD 2025 2-50 ACA Compliant ## Page 6 Attention (English): This notice contains information about your insurance coverage. It may contain key dates and you may need to take action by certain deadlines. You have the right to get this information and assistance in your language at no cost. Members should call the phone number on the back of their identification card. All others may call 1-855-258-6518 and wait through the dialogue until prompted to push 0. When an agent answers, state the language you need and you will be connected to an interpreter. (Amharic) 855-258-6518 0 : . (Arabic) . . . 855-258-5618 . . 0 . Chinese 855-258-6518 0 (: . Farsi) . . . . 0 855-258-6518 . Attention (French): Le pr sent avis contient des informations essentielles relatives votre couverture d assurance. Il peut inclure des ch ances importantes n cessitant une action de votre part dans un d lai d termin . Vous avez le droit d obtenir ces informations ainsi qu une assistance dans votre langue, et ce, sans frais. Les assur s sont invit s contacter le num ro figurant au verso de leur carte d adh rent. Toute autre personne peut appeler le 855-258-6518 et patienter jusqu l invitation composer le 0. Lorsque votre appel sera pris en charge, indiquez la langue souhait e afin d tre mis en relation avec un interpr te. Achtung (German): Dieser Hinweis enth lt Informationen zu Ihrem Versicherungsschutz. Darin sind m glicherweise wichtige Termine aufgef hrt und Sie m ssen m glicherweise bis zu bestimmten Fristen Ma nahmen ergreifen. Sie haben das Recht, diese Informationen und Unterst tzung kostenlos in Ihrer Sprache zu erhalten. Mitglieder sollten die Telefonnummer auf der R ckseite ihres Mitgliedsausweises anrufen. Alle anderen k nnen 855-258-6518 anrufen und den Dialog abwarten, bis sie aufgefordert werden, die 0 zu dr cken. Wenn ein Agent antwortet, geben Sie die gew nschte Sprache an und Sie werden mit einem Dolmetscher verbunden. SUM6960-1P (12/24) MD 2025 2-50 ACA Compliant ## Page 7 Leruoanya (Igbo): o kw a nwere ozi b ny r mkpuchi megide ihe mberede g . nwere ike inwe b ch ndi d k m kp ma o nwekwara ike id mkpa ka imee ihe tupu oge f d agafee. Inwere ikike inweta ozi a ya na enyemaka na as s g n akw gh gw b la. Ndi tu ga akp n g g ekwenti d na zu k d njirimara ndi t ha. Ndi o zo nile nwere ke kp 855-258-6518 ma chere geruo mkpar ta ka ruo mgbe asi ha p a 0. Mgbe onye ozi zara,kwuo as s ich r , a ga ejikota gi na onye ntughari as s . Attenzione (Italian): Questa informativa contiene informazioni sulla copertura assicurativa. Potrebbe contenere date importanti e potrebbe essere necessario intraprendere azioni entro determinate scadenze. possibile ottenere queste informazioni e assistenza nella propria lingua gratuitamente. I membri sono pregati di chiamare il numero di telefono riportato sul retro del proprio tesserino di riconoscimento. Tutti gli altri possono chiamare il numero 855-258-6518 e rimanere in linea fino a quando non viene richiesto di premere 0. Quando un operatore risponde, necessario indicare la lingua desiderata per essere messi in contatto con un interprete. (Korean): . , . . . 855-258-6518 0 . , . Baa kon n zin (Navajo) D bee i hane b eso nich h naa nil bee nik asti b dah ln ihgo bee baa dahane biyi . Dayoo k d bee ida ii aah h d sh t bich j ha t sh dadiilii g biyi . D bee baa dahane d t jiik eh nizaad bee nika e eyeedgo bee n ahoot i . Bi hada d t h binaaltsoos nit izh bee b dah zin b h b sh bee hane n mboo bik g yee dahalne doolee . N n a 855-258-6518 yee dahalne d y ti biba asd ago nil bi ad lch d hodoo niidj . Naalnish haadz go, saad n n zin g bee bi hod ilnih d ata y ti bich ni doolnih. Aten o (Portuguese): Este aviso cont m informa es sobre a cobertura do seu seguro. Ele pode conter datas importantes e voc pode precisar tomar medidas dentro de determinados prazos. Voc tem o direito de obter essas informa es e assist ncia em seu idioma, sem nenhum custo. Os associados dever o ligar para o n mero de telefone indicado no verso do seu cart o de identifica o de associado. Todos os outros podem ligar para 855-258-6518 e aguardar a mensagem at que seja solicitado a pressionar 0. Quando um agente atender, indique o idioma que voc precisa e voc ser conectado a um int rprete. (Russian): . , . . , . 855-258-6518 , 0. , , . SUM6960-1P (12/24) MD 2025 2-50 ACA Compliant ## Page 8 Fa'alogo (Samoan): O lenei fa'aaliga o lo'o iai fa'amatalaga i vaega e kava e lau inisiua. E ono aofia ai aso taua ma atonu e te mana omia ai le faia o se gaioiga i nisi taimi fa agata. E iai lau aia tatau e maua ai nei fa'amatalaga ma fesoasoani i lau gagana e aunoa ma se totogi. E tatau i sui auai ona vili le numera o le telefoni i tua o le latou pepa faamaonia. O isi uma e mafai ona vala'au i le 855-258-6518 ma fa'atali i le talanoaga se'ia fa'atonuina e oomi le 0. A tali mai se so'o upu, fa'ailoa atu le gagana e te mana'omia ona fa'afeso'ota'i lea o oe i se tagata fa'aliliu. Pa nja (Serbian): Ovo obave tenje sadr i informacije o va em osiguranju. Mo e sadr ati klju ne datume i mo da ete morati da preduzmete akciju do odre enih rokova. Imate prava da dobijete ove informacije i pomo na va em jeziku besplatno. Trebalo bi da lanovi nazovu telefonski broj na pole ini svoje lanske legitimacije. Svi ostali mogu pozvati 855-258-6518 i sa ekati automat dok ne dobiju obave tenje da pritisnu taster "0". Kada se agent javi, navedite jezik koji vam je potreban i bi ete povezani s prevodiocem Atenci n (Spanish): Este aviso contiene informaci n sobre su cobertura de seguro. Puede contener fechas clave y es posible que deba tomar medidas antes de determinadas fechas l mite. Usted tiene derecho a obtener esta informaci n y asistencia en su idioma sin coste alguno. Los afiliados deben llamar al n mero de tel fono que figura en el reverso de su tarjeta de identificaci n del afiliado. Todos los dem s pueden llamar al 855-258-6518 y esperar el di logo hasta que se les solicite presionar 0. Cuando un agente responda, indique el idioma que necesita y se conectar con un int rprete. Atensyon (Tagalog): Ang abisong ito ay naglalaman ng impormasyon tungkol sa saklaw ng iyong insurance. Maaaring naglalaman ito ng mga mahahalagang petsa at maaaring kailanganin mong kumilos ayon sa ilang partikular na mga deadline. May karapatan kang makuha ang impormasyong ito at tulong sa iyong wika nang walang bayad. Ang mga miyembro ay dapat tumawag sa numero ng telepono sa likod ng kanilang member identification card. Ang lahat ng iba ay maaaring tumawag sa 855-258-6518 at maghintay hanggang sa masabihan na pindutin ang 0. Kapag sumagot ang isang ahente, sabihin ang wikang kailangan mo at ikaw ay ikokonek sa isang tagapagsalin. (: Urdu) 0 855-258-6518 L u (Vietnamese): Th ng b o n y c ch a th ng tin v ph m vi b o hi m c a b n. N c th ch a c c ng y quan tr ng v b n c th c n ph i h nh ng theo th i h n nh t nh. B n c quy n nh n th ng tin v h tr n y b ng ng n ng c a m nh m kh ng m t ph . C c th nh vi n n n g i n s i n tho i m t sau th th nh vi n c a m nh. Nh ng ng i kh c c th g i n s 855-258-6518 v ch qua h i tho i cho n khi c nh c nh n s 0. Khi c nh n vi n tr l i, h y n u ng n ng b n c n v b n s c k t n i v i phi n d ch vi n. SUM6960-1P (12/24) MD 2025 2-50 ACA Compliant
